198,CH-MAS-B2-172.16.3.14,11
199,CH-172.16.2.227,11
200,CH-MAS-172.16.3.5,11
201,HYD-192.168.141.10,11
202,KL-192.168.40.40,11
203,DL-192.168.50.40,11
204,MUM-192.168.124.62,17
205,HYD-BK-192.168.140.20,17
206,MUM-BK-192.168.124.84,17
207,CH-MAS-B1-172.16.3.80,17
208,CH-MAS-B2-172.16.3.14,17
209,CH-172.16.2.227,17
210,CH-MAS-172.16.3.5,17
211,HYD-192.168.141.10,17
212,KL-192.168.40.40,17
213,DL-192.168.50.40,17
214,4th flr Npthwy-172.16.2.202,4
215,4th flr lobby-172.16.2.152,4
216,4th flr Stair-172.16.2.151,4
217,4thflr Training-172.16.2.155,4
218,4th flr S-pathw-192.168.70.3,4
219,4th flr Editing-172.16.2.154,4
220,3rdflr N-pathwy-172.16.2.156,4
221,3rd flr Testing-172.16.2.160,4
222,3rd flr lobby-172.16.2.158,4
223,3rdflr S-pathwy-172.16.2.159,4
224,3rdflrSB TS-ENT-172.16.2.167,4
225,3rd flr stair-172.16.2.157,4
226,2ndflr N-pathwy-172.16.2.161,4
227,2nd IT ser room-172.16.2.187,4
228,2nd flr IT-ROOM-172.16.2.178,4
229,2nd flr stair-172.16.2.163,4
230,2nd IT Room ENT-172.16.2.168,4
231,2nd flr lobby-172.16.2.164,4
232,2nd flrCashROOM-172.16.2.176,4
233,2nd flr ITSRSD-172.16.2.174,4
234,QC MAIN ENTRY-172.16.2.198,4
235,II ENTRY RI OFF-172.16.2.200,4
236,Grndflr SwpyENT-172.16.2.208,4
237,GRND RECPT-172.16.2.192,4
238,Gnd flr WAITRM-172.16.2.194,4
239,Grnd flr Stairs-172.16.2.204,4
240,Gen Set down1-172.16.2.206,4
241,1STFLR_UPSROOM-172.16.2.214,4
242,GRND flr Commerical-172.16.2.197,4
243,UD GRND EB ENT-172.16.2.190,4
244,GYM-172.16.2.209,4
245,5thflr pantin-192.168.70.4,4
246,1stflrMASWRKEDT-172.16.2.173,4
247,GRND COMM-1 DPT-172.16.3.110,4
248,5th flr Stairs-192.168.70.12,4
249,IT ROOM WRKPLC-172.16.2.148,4
250,Ground Floor North Pathway-1- 172.16.2.215,4
251,GND flr EMGEXIT PATHWAY-172.16.2.147,4
252,4th flr Npthwy-172.16.2.202,10
253,4th flr lobby-172.16.2.152,10
254,4th flr Stair-172.16.2.151,10
255,4thflr Training-172.16.2.155,10
256,4th flr S-pathw-192.168.70.3,10
257,4th flr Editing-172.16.2.154,10
258,3rdflr N-pathwy-172.16.2.156,10
259,3rd flr Testing-172.16.2.160,10
260,3rd flr lobby-172.16.2.158,10
261,3rdflr S-pathwy-172.16.2.159,10
262,3rdflrSB TS-ENT-172.16.2.167,10
263,3rd flr stair-172.16.2.157,10
264,2ndflr N-pathwy-172.16.2.161,10
265,2nd IT ser room-172.16.2.187,10
266,2nd flr IT-ROOM-172.16.2.178,10
267,2nd flr stair-172.16.2.163,10
268,2nd IT Room ENT-172.16.2.168,10
269,2nd flr lobby-172.16.2.164,10
270,2nd flrCashROOM-172.16.2.176,10
271,2nd flr ITSRSD-172.16.2.174,10
272,QC MAIN ENTRY-172.16.2.198,10
273,II ENTRY RI OFF-172.16.2.200,10
274,Grndflr SwpyENT-172.16.2.208,10
275,GRND RECPT-172.16.2.192,10
276,Gnd flr WAITRM-172.16.2.194,10
277,Grnd flr Stairs-172.16.2.204,10
278,Gen Set down1-172.16.2.206,10
279,1STFLR_UPSROOM-172.16.2.214,10
280,GRND flr Commerical-172.16.2.197,10
281,UD GRND EB ENT-172.16.2.190,10
282,GYM-172.16.2.209,10
283,5thflr pantin-192.168.70.4,10
284,1stflrMASWRKEDT-172.16.2.173,10
285,GRND COMM-1 DPT-172.16.3.110,10
286,5th flr Stairs-192.168.70.12,10
287,IT ROOM WRKPLC-172.16.2.148,10
288,Ground Floor North Pathway-1- 172.16.2.215,10
289,GND flr EMGEXIT PATHWAY-172.16.2.147,10
290,4th flr Npthwy-172.16.2.202,16
291,4th flr lobby-172.16.2.152,16
292,4th flr Stair-172.16.2.151,16
293,4thflr Training-172.16.2.155,16
294,4th flr S-pathw-192.168.70.3,16
295,4th flr Editing-172.16.2.154,16
296,3rdflr N-pathwy-172.16.2.156,16
297,3rd flr Testing-172.16.2.160,16
298,3rd flr lobby-172.16.2.158,16
299,3rdflr S-pathwy-172.16.2.159,16
300,3rdflrSB TS-ENT-172.16.2.167,16
301,3rd flr stair-172.16.2.157,16
302,2ndflr N-pathwy-172.16.2.161,16
303,2nd IT ser room-172.16.2.187,16
304,2nd flr IT-ROOM-172.16.2.178,16
305,2nd flr stair-172.16.2.163,16
306,2nd IT Room ENT-172.16.2.168,16
307,2nd flr lobby-172.16.2.164,16
308,2nd flrCashROOM-172.16.2.176,16
309,2nd flr ITSRSD-172.16.2.174,16
310,QC MAIN ENTRY-172.16.2.198,16
311,II ENTRY RI OFF-172.16.2.200,16
312,Grndflr SwpyENT-172.16.2.208,16
313,GRND RECPT-172.16.2.192,16
314,Gnd flr WAITRM-172.16.2.194,16
315,Grnd flr Stairs-172.16.2.204,16
316,Gen Set down1-172.16.2.206,16
317,1STFLR_UPSROOM-172.16.2.214,16
318,GRND flr Commerical-172.16.2.197,16
319,UD GRND EB ENT-172.16.2.190,16
320,GYM-172.16.2.209,16
321,5thflr pantin-192.168.70.4,16
322,1stflrMASWRKEDT-172.16.2.173,16
323,GRND COMM-1 DPT-172.16.3.110,16
324,5th flr Stairs-192.168.70.12,16
325,IT ROOM WRKPLC-172.16.2.148,16
326,Ground Floor North Pathway-1- 172.16.2.215,16
327,GND flr EMGEXIT PATHWAY-172.16.2.147,16
328,THEATRE PATH WAY-172.16.2.201,4
329,MasEncode Room-172.16.2.169,4
330,1st flr MAS REC-172.16.2.185,4
331,CH-MAS-Stairs-172.16.2.186,4
332,RI-MAS-ENT-R1-172.16.2.179,4
333,Contentcpycoord-172.16.2.196,4
334,1st flrMASSWPY2-172.16.2.184,4
335,1st flr ADSMAS1-172.16.2.181,4
336,1st flr MASNPY1-172.16.2.177,4
337,1st flrMas UPR1-172.16.2.162,4
338,1st flrMASWRKPL-172.16.2.170,4
339,AdsMastering C1-172.16.2.172,4
340,Vault Upload C1-172.16.2.166,4
341,ContentCopyC1-172.16.2.171,4
342,1stflrMASWRKEDT-172.16.2.173,4
343,VaultUploadC2-172.16.2.165,4
344,Screen1-Entry-172.16.2.175,4
345,Screen-2a-172.16.2.188,4
346,Screen-2-172.16.2.183,4
347,1st flrMas UPR1-172.16.2.191,4
348,Screen-4-172.16.2.182,4
349,Screen-5-172.16.2.193,4
350,1st dup-172.16.2.207,4
351,Projection ROOM-172.16.2.205,4
352,Screen 1A-172.16.2.212,4
353,Projec 2nd 3rd-172.16.2.213,4
354,Screen-1-172.16.3.54,4
355,QBWRC1-172.16.3.81,4
356,QWR C2-172.16.3.82,4
357,THEATRE PATH WAY-172.16.2.201,10
358,MasEncode Room-172.16.2.169,10
