1,Server,1
2,Network,1
4,Camera,1
5,NVR-Storage,1
6,DVR-Storage,1
7,Server,2
8,Network,2
10,Camera,2
11,NVR-Storage,2
12,DVR-Storage,2
13,Server,3
14,Network,3
16,Camera,3
17,NVR-Storage,3
18,DVR-Storage,3
